NAME,DESCRIPTION
FA003,Mazda Motor Corporation
KA001,Halla Climate Control Corp.
TC001,Prodrive Automotive Technology
TC002,Thai Cubic Technology Co.Ltd.
TC003,APM Climate Control SDN BHD.
TC004,Thai Heat Exchange Public Co.Ltd.
TC005,Ken and Keiko Service Limited Partnership
TC006,Ford Vietnam Ltd.
TC007,YusenLogistics (Thailand) Co.Ltd.
TC008,Auto Alliance (Thailand) Co.Ltd.
TC009,Korean International Automobiles Co.Ltd.
TC010,Delta Climate Control & Engineering Ltd.
TC011,Patco Malaysia Berhad
TC012,Ford Motor Company of Australia
TC013,Visteon PhilippinesInc.
TC014,Centrum Climate Control SystemLLC
TC015,Auto Alliance (Thailand) Co.Ltd.
TC016,Prodrive Automotive Technology (Thailand) Limited
TC017,PT. Ford Motor Indonesia
TC018,Visteon Climate Control System (Chongqing) Co.Ltd
TC019,Ford Werke AG - Merkenich Engineering CEI
TC020,EI Teriak Industrial Group
TC021,Halla Canada INC-P2 Plant2
TC022,M-Tech Auto Air Co.Ltd.
TC023,Nissan Trading Co.Ltd.
TC024,Interhides Public Co.Ltd.
TC025,DMS Tech Co.Ltd.
TC026,Behr India Limited
TC027,Visteon Automotive Systems India Private Ltd.
TC028,Visteon Automotive Components Production Industry
TC029,Nissan Motor (Thailand) Co.Ltd.
TC030,Halla Climate Systems Alabama
TC031,Summit Auto Seats Co.Ltd.
TC032,Sam Myung M/C Ind. Co.Ltd.
TC033,Modern Products Industry Co.Ltd.
TC034,Sam Sung Climate Control Co.Ltd.
TC035,Nissan Motor (Thailand) Co.Ltd.
TC036,Changan Ford Mazda Automobile Co.Ltd.
TC037,Cooltec Marketing SDN. BHD.
TC038,Nitco Siam Co.Ltd.
TC039,Motrex Co.Ltd.
TC040,Dimond Kollakarn Co.Ltd.
TC041,K.P.S. Recycle Co.Ltd.
TC042,Nissan Motor (Thailand) Co.Ltd.
TC043,Central Office Products Co.Ltd.
TC044,Mr.Boonrung Tamprakon
TC045,Thai Raditech Co.Ltd.
TC046,T.B. Inter Group Ltd.Part.
TC047,Thai Swedish Assembly Co.Ltd.
TC048,Chevrolet Sales (Thailand) Limited
TC049,TATA Motors Thailand Limited
TC050,Hyundai Motor (Thailand) Co.Ltd.
TC051,A Group of Persons Triple A
TC052,Coclisa Sa De Cv Visteon Llc El Pas
TC053,Suzuki Motor (Thailand) Co.Ltd.
TC054,Mitzubishi Co.Ltd.
TC055,Auto Alliance (Thailand) Co.Ltd.
TC056,Groshen Corporation (M) SDN BHD
TC057,Visteon Climate Control (Beijing) Co.Ltd.
TC058,Ford Motor Company of Australia Ltd.
TC059,KScycle Co.Ltd.
TC060,Acument Japan K.K
TC061,Visteon Deutschland GmbH
TC062,Visteon Otomotiv Parcalari Turkey
TC063,World Waste Co.Ltd.
TC064,Auto Interior Product Co.Ltd.
TC065,Visteon S.A.
TC066,Siam Kubota Corporation Co.Ltd.
TC067,CoolDrive Distribution
TC068,Visteon South Africa
TC069,Pyongsan International (Thailand) Co.Ltd.
TC070,Kubota Corporation.
TC071,QM Invent Co.Ltd.
TC072,Volvo Car (Thailand) Ltd.
TC073,Link Engineering Company
TC074,Visteon Corp
TC075,SNC Pyongsan Evolution Co.Ltd.
TC076,Ford Lio Ho Motor Co. Ltd.
TC077,Nissan Motor (Thailand) Co.Ltd.
TC078,GM Korea Company
TC079,Visteon Climate Control (Nanchang) Co.Ltd.
TC080,Siam Auto Air Service Co.Ltd.
TC081,C.C.B. Electric Co. Ltd.
TS120,Auto Alliance (Thailand) Co.Ltd.
TS438,Visteon (Thailand) Co.Ltd.
TS466,AIR INTERNATIONAL PTY LTD
TS572,Ford Motor Company PhilippinesInc.
TS627,UCM
