OPERATION_ID,USER_ID
System-6PAPC,v07016
System-6PAPD,t97042
System-6PAPD,v12013
System-6PAPD,v12018
System-6PAPD,v12019
System-6PAPD,v12023
System-6PAPD,z12120
System-6PAPD,z12146
System-6PAPD,z12164
System-6PAPD,z12176
System-6PAPD,z12205
System-6PAPD,z12228
System-6PAPD,z12315
System-6PAPD,z12325
System-6PAPD,z12336
System-6PAPD,z12374
System-6PAPD,z12430
System-6PAPD,z12512
System-6PAPD,z13015
System-6PAPD,z13032
System-6PAPD,z13059
System-6PAPD,z13069
System-6PAPD,z13072
System-6PAPD,z13071
System-6PAPD,z13075
System-6PAQA,v00044
System-6PAQB,t97038
System-6PAQB,v01004
System-6PAQB,z12196
System-6PAQB,z12353
System-6PAQB,z12357
System-6PAQB,z12525
System-6PARA,z13014
System-6PARA,z13030
System-6PARC,v05046
System-6PARC,v05073
System-6PARC,v12017
System-6PARC,z12513
System-6PARC,z12544
System-6PARC,z13048
System-6PARE,z12302
System-6PARH,z12133
System-6PARI,t99013
System-6PARI,t99055
System-6PARI,t99059
System-6PARI,v05043
System-6PARI,v05076
System-6PARI,v10007
System-6PARI,z11102
System-6PARI,z12012
System-6PARI,z12023
System-6PARI,z12172
System-6PARI,z12210
System-6PARI,z12529
System-6PARK,v05070
System-6PASA,v00052
System-6PASA,t99016
System-6PASA,v00042
System-6PASA,v00044
System-6PASA,v04038
System-6PASA,v05030
System-6PASA,z12239
System-6PASA,z12303
System-6PASA,z12527
System-6PASA,z13077
System-6PASA,z13086
System-6PASA,z13145
System-6PASB,v05066
System-6PASB,z12142
System-6PASB,z12253
System-6PASB,z12290
System-6PASB,z12404
System-6PASC,v05033
System-6PASC,z11027
System-6PASC,z12025
System-6PASC,z12131
System-6PASC,z12132
System-6PASC,z12299
System-6PASC,z12463
System-6PASC,z13017
System-6PASC,z13078
System-6PATA,t98019
System-6PATA,t99010
System-6PATA,v05082
System-6PATA,v04017
System-6PAUA,v00073
System-6PAUB,t99007
System-6PAUC,t99015
System-6PAUD,t97041
System-6PAUF,v04043
System-6PAUF,v05064
System-6PAUF,v12042
System-6PAUF,z12384
System-6PAUF,z12433
System-6PAUF,z12575
System-6PAUF,z13006
System-6PAUF,z13051
