OPERATION_ID,MACHINE_ID,PRODUCT_ID,TARGET_UPH,CYCLETIME
System-6PAUK,System-4AZZC108,System-F124LP4AA10,12,300
System-6PAUK,System-4AZZC108,System-F124LP4AB10,20,180
System-6PAUK,System-4AZZC108,System-F124LP4AC03,12,300
System-6PAUK,System-4AZZC108,System-F124LP4AD03,12,300
System-6PAUK,System-4AZZC108,System-F124LP4AE04,12,300
System-6PAUK,System-4AZZC108,System-F124LP4AF01,12,300
System-6PAUK,System-4AZZC108,System-F124LP4BA06,12,300
System-6PAUK,System-4AZZC108,System-F124LP4BB04,12,300
System-6PAUK,System-4AZZC108,System-F124LP4CA08,12,300
System-6PAUK,System-4AZZC108,System-F124LP4CB03,12,300
System-6PAUK,System-4AZZC108,System-F124LP4DA03,20,180
System-6PAUK,System-4AZZC108,System-F124LP4LA10,12,300
System-6PAUK,System-4AZZC108,System-F124LP4LB10,45,80
System-6PAUK,System-4AZZC108,System-F124LP4LC08,12,300
System-6PAUK,System-4AZZC108,System-F124LP4LD08,12,300
System-6PAUK,System-4AZZC108,System-F124LP4MA06,12,300
System-6PAUK,System-4AZZC108,System-F124LP4NA08,12,300
System-6PAUK,System-4AZZC108,System-F124LP4NB06,12,300
System-6PAUK,System-4AZZC108,System-F124LP4NC06,12,300
System-6PAUK,System-4AZZC108,System-F124LP4PA04,20,180
System-6PAUK,System-4AZZC108,System-F124LPCPA03,20,180
System-6PAUK,System-4AZZC108,System-F124LPCPB03,20,180
System-6PAUK,System-4AZZC108,System-F124LPCSA03,20,180
System-6PAUK,System-4AZZC108,System-F124LPCSB03,20,180
System-6PAUK,System-4AZZC108,System-F124LPCTA04,20,180
System-6PAUK,System-4AZZC108,System-F124LPCTB04,20,180
System-6PAUK,System-4AZZC108,System-F124LPCUB03,20,180
System-6PALA,System-4A81PV02,System-R276KUAEA01,1920,1.875
System-6PALA,System-4A81PV02,System-R703GRDTA01,1920,1.875
System-6PARI,System-4AGEIC01,System-R700GRAAA01,31.499999999999996,114.28571428571429
System-6PARI,System-4AGEIC01,System-R700LYAAA01,62.99999999999999,57.142857142857146
System-6PARI,System-4AGEIC01,System-R700LYAAB01,62.99999999999999,57.142857142857146
System-6PARI,System-4AGEIC01,System-R700LYABA01,72,50
System-6PARI,System-4AGEIC01,System-R700LYABB01,72,50
System-6PARI,System-4AGEIC01,System-R750GRAAA01,31.499999999999996,114.28571428571429
System-6PARI,System-4AGEIC01,System-R750LYAAA01,72,50
System-6PARI,System-4AGEIC01,System-R750LYAAX01,72,50
System-6PARI,System-4AGEIC01,System-R750LYABA01,72,50
System-6PARI,System-4AGEIC01,System-R750LYABX01,72,50
System-6PARI,System-4AGEIC01,System-R750RM7AA04,31.499999999999996,114.28571428571429
System-6PARI,System-4AGEIC01,System-R750WMCAA01,72,50
System-6PAKA,System-4AZZBZ01,System-F833RAXAA01,2400,1.5
System-6PAKA,System-4AZZBZ01,System-F833RZWLA04,2400,1.5
System-6PALA,System-4A81PV02,System-A156KBXAB02,1920,1.875
System-6PALA,System-4AEV0003,System-A156BBJAB01,2880,1.25
System-6PALA,System-4AEV0003,System-A156KBXAB01,2880,1.25
System-6PALA,System-4AEV0003,System-D254LP4AA01,2880,1.25
System-6PALA,System-4AZTOC01,System-A153KBXAA02,2880,1.25
System-6PALA,System-4AZTOC01,System-A153RZWLA01,2880,1.25
System-6PALA,System-4AZTOC01,System-A154AKYAB03,2880,1.25
System-6PALA,System-4AZTOC01,System-A154KBXAA02,2880,1.25
System-6PAPB,System-4AEVMU24,System-F152RK6LA01,59.99999999999999,60.00000000000001
System-6PAPB,System-4AEVMU24,System-F152RM7AA01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152RM7BA01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152RM7LA01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AA02,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AB02,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AC01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AD02,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AE01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AF01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5AI01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5BA01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5CA01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF5CB01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF6AA01,63,57.142857142857146
System-6PAPB,System-4AEVMU24,System-F152TF7AE01,62.99999999999999,57.142857142857146
System-6PAPB,System-4AZZEE01,System-A143BBJAB01,100.8,35.714285714285715
System-6PAPB,System-4AZZEE01,System-A152GGSAA17,42,85.71428571428571
System-6PAPB,System-4AZZEE01,System-F152BBWAA05,42,85.71428571428571
System-6PAPB,System-4AZZEE01,System-F152BBWLA05,42,85.71428571428571
System-6PAPB,System-4AZZEE01,System-F152BF1BB01,42,85.71428571428571
System-6PANC,System-4AZZFZ05,System-F152RAXLA02,423,8.51063829787234
System-6PANC,System-4AZZFZ05,System-F152RD3BA01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RD3TB01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RD3TC01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RK6AA01,282,12.76595744680851
System-6PANC,System-4AZZFZ05,System-F152RK6LA01,282,12.76595744680851
System-6PANC,System-4AZZFZ05,System-F152RM7AA01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RM7BA01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RM7LA01,422.9999999999999,8.510638297872342
System-6PANC,System-4AZZFZ05,System-F152RZWLA02,423,8.51063829787234
System-6PANC,System-4AZZFZ05,System-F152RZWLA04,423,8.51063829787234
